SN,Area,Perimeter,Major_Axis_Length,Norm_Major_Axis,Minor_Axis_Length,Norm_Minor_Axis,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Binned_Roundness,Aspect_Ration,Compactness,Class,Bi-level Class
327216,62165,936.716,356.8281,-1.774206299,222.3935,0.457035058,62647,281.3378,0.782,0.9923,0.7237,0.8903,0.9,1.6045,0.7884,Çerçevelik,1
327217,85913,1120.778,435.7355,-0.371051462,251.4643,0.64624117,86577,330.7383,0.8167,0.9923,0.7386,0.8595,0.9,1.7328,0.759,Çerçevelik,1
327219,68683,1021.57,409.83,-0.831710762,214.3968,0.404988864,69337,295.7193,0.8522,0.9906,0.6526,0.827,0.8,1.9115,0.7216,Çerçevelik,1
327221,61215,951.511,369.4055,-1.550551234,212.7202,0.394076782,61936,279.1798,0.8176,0.9884,0.6779,0.8497,0.8,1.7366,0.7558,Çerçevelik,1
327223,72713,1039.375,401.8137,-0.97425899,231.1989,0.514344644,73336,304.2714,0.8179,0.9915,0.6861,0.8458,0.8,1.738,0.7572,Çerçevelik,1
327227,58684,917.482,355.8436,-1.79171297,210.4503,0.37930323,59202,273.3474,0.8064,0.9913,0.7156,0.8761,0.9,1.6909,0.7682,Çerçevelik,1
327231,59652,932.197,359.1674,-1.732608171,213.7165,0.400561159,60204,275.5926,0.8037,0.9908,0.675,0.8626,0.9,1.6806,0.7673,Çerçevelik,1
327235,89091,1138.972,443.718,-0.229104275,256.1033,0.676433911,89964,336.7999,0.8166,0.9903,0.7407,0.863,0.9,1.7326,0.759,Çerçevelik,1
327239,58701,924.23,361.2761,-1.695110641,207.3608,0.359195346,59204,273.387,0.8189,0.9915,0.6746,0.8636,0.9,1.7423,0.7567,Çerçevelik,1
327241,67699,1023.719,405.671,-0.905667336,213.4477,0.398811686,68507,293.5933,0.8504,0.9882,0.6923,0.8118,0.8,1.9006,0.7237,Çerçevelik,1
327244,80555,1089.003,418.3991,-0.679332479,246.1369,0.611568005,81584,320.259,0.8087,0.9874,0.7381,0.8536,0.9,1.6999,0.7654,Çerçevelik,1
327248,68816,996.081,387.6093,-1.226845853,227.5767,0.490769703,69403,296.0055,0.8095,0.9915,0.7542,0.8716,0.9,1.7032,0.7637,Çerçevelik,1
327252,80729,1095.096,430.9316,-0.456475839,239.086,0.565677511,81407,320.6047,0.832,0.9917,0.7537,0.8459,0.8,1.8024,0.744,Çerçevelik,1
327254,67796,1004.675,384.1239,-1.288824271,226.0686,0.480954296,68610,293.8036,0.8085,0.9881,0.696,0.844,0.8,1.6991,0.7649,Çerçevelik,1
327258,71730,1035.017,402.0958,-0.969242604,227.921,0.493010566,72668,302.2077,0.8238,0.9871,0.6765,0.8414,0.8,1.7642,0.7516,Çerçevelik,1
327261,70771,1016.414,387.1938,-1.234234397,234.0186,0.532696546,71451,300.1807,0.7967,0.9905,0.7201,0.8608,0.9,1.6545,0.7753,Çerçevelik,1
327265,73611,1019.849,384.023,-1.290618505,244.5884,0.601489656,74230,306.1445,0.7709,0.9917,0.7169,0.8894,0.9,1.5701,0.7972,Çerçevelik,1
327269,79842,1133.404,458.0375,0.02552933,222.8276,0.459860381,80792,318.8385,0.8737,0.9882,0.7354,0.781,0.8,2.0556,0.6961,Çerçevelik,1
327271,68822,1036.675,422.2851,-0.610230472,208.052,0.363693993,69467,296.0184,0.8702,0.9907,0.7514,0.8047,0.8,2.0297,0.701,Çerçevelik,1
327272,76775,1090.25,440.8537,-0.280038108,223.2013,0.462292592,77569,312.6547,0.8624,0.9898,0.7419,0.8117,0.8,1.9751,0.7092,Çerçevelik,1
327275,62105,986.37,390.4307,-1.176674879,203.1583,0.331843547,62792,281.202,0.854,0.9891,0.6624,0.8022,0.8,1.9218,0.7202,Çerçevelik,1
327279,55811,937.114,360.5674,-1.707712955,199.135,0.305658064,56778,266.5723,0.8337,0.983,0.6303,0.7986,0.8,1.8107,0.7393,Çerçevelik,1
327282,97062,1181.124,441.0742,-0.276117112,281.3946,0.841041301,97926,351.544,0.7701,0.9912,0.7266,0.8743,0.9,1.5675,0.797,Çerçevelik,1
327285,70361,1060.623,431.2931,-0.450047539,208.6176,0.367375178,71075,299.3099,0.8752,0.99,0.6644,0.786,0.8,2.0674,0.694,Çerçevelik,1
327286,75482,1050.829,388.6198,-1.208876841,247.8359,0.622625877,76417,310.0108,0.7703,0.9878,0.7015,0.859,0.9,1.5681,0.7977,Çerçevelik,1
327289,67832,1004.39,380.6642,-1.350345685,228.262,0.49522995,68816,293.8816,0.8003,0.9857,0.7191,0.845,0.8,1.6677,0.772,Çerçevelik,1
327290,67135,1031.821,368.1006,-1.573755354,238.7819,0.563698289,68784,292.3678,0.7611,0.976,0.6867,0.7924,0.8,1.5416,0.7943,Çerçevelik,1
327293,79074,1065.425,398.656,-1.03041015,253.8709,0.661904427,79681,317.3013,0.771,0.9924,0.7359,0.8754,0.9,1.5703,0.7959,Çerçevelik,1
327296,86164,1122.042,428.2713,-0.503782085,256.9736,0.682098223,86938,331.2211,0.8,0.9911,0.694,0.86,0.9,1.6666,0.7734,Çerçevelik,1
327299,67549,1004.333,392.5092,-1.139714375,219.6762,0.439349623,68147,293.2679,0.8287,0.9912,0.7106,0.8415,0.8,1.7868,0.7472,Çerçevelik,1
327303,87490,1137.818,429.7881,-0.476809896,260.8003,0.707004143,88474,333.76,0.7948,0.9889,0.7558,0.8492,0.8,1.648,0.7766,Çerçevelik,1
327305,82468,1134.996,452.2654,-0.077111868,232.5943,0.523426547,83212,324.0394,0.8576,0.9911,0.6277,0.8045,0.8,1.9444,0.7165,Çerçevelik,1
327308,90346,1173.761,462.2198,0.099900231,250.0358,0.636943836,91444,339.1638,0.8411,0.988,0.7412,0.8241,0.8,1.8486,0.7338,Çerçevelik,1
327312,73484,1076.322,423.5409,-0.587899463,223.2066,0.462327087,74411,305.8803,0.8499,0.9875,0.7426,0.7971,0.8,1.8975,0.7222,Çerçevelik,1
327313,87906,1156.064,446.5276,-0.179143132,251.7033,0.647796691,88905,334.5525,0.826,0.9888,0.7095,0.8265,0.8,1.774,0.7492,Çerçevelik,1
327317,83467,1127.225,452.1363,-0.079407562,235.4289,0.541875425,84142,325.9961,0.8537,0.992,0.7602,0.8255,0.8,1.9205,0.721,Çerçevelik,1
327318,82324,1108.52,440.7238,-0.282348029,238.8192,0.563941054,82952,323.7563,0.8405,0.9924,0.7467,0.8419,0.8,1.8454,0.7346,Çerçevelik,1
327320,88264,1156.395,461.0047,0.078292962,244.569,0.601363392,89044,335.2331,0.8477,0.9912,0.7685,0.8294,0.8,1.885,0.7272,Çerçevelik,1
327323,106862,1253.488,492.4942,0.638248609,277.477,0.815543762,107521,368.8644,0.8262,0.9939,0.7391,0.8547,0.9,1.7749,0.749,Çerçevelik,1
327327,69275,1007.568,386.0202,-1.255103701,229.618,0.504055421,70121,296.991,0.8038,0.9879,0.7314,0.8575,0.9,1.6811,0.7694,Çerçevelik,1
327330,64922,987.925,382.434,-1.318874575,216.782,0.420512841,65490,287.5087,0.8238,0.9913,0.6994,0.8359,0.8,1.7641,0.7518,Çerçevelik,1
327331,88645,1176.996,464.8264,0.146251567,243.8185,0.596478793,89630,335.9558,0.8514,0.989,0.7373,0.8041,0.8,1.9064,0.7228,Çerçevelik,1
327334,102336,1241.001,490.5406,0.603509114,266.7169,0.745512092,103286,360.9685,0.8393,0.9908,0.7306,0.835,0.8,1.8392,0.7359,Çerçevelik,1
327338,64604,1000.248,403.9814,-0.935712305,204.3188,0.339396614,65208,286.8037,0.8627,0.9907,0.6531,0.8114,0.8,1.9772,0.7099,Çerçevelik,1
327341,71311,1036.339,410.6743,-0.816697168,222.1935,0.455733367,72149,301.3237,0.841,0.9884,0.7392,0.8344,0.8,1.8483,0.7337,Çerçevelik,1
327342,87179,1136.822,445.2308,-0.202203215,250.6702,0.641072802,88092,333.1663,0.8264,0.9896,0.7067,0.8477,0.8,1.7762,0.7483,Çerçevelik,1
327344,86869,1164.885,464.3543,0.137856545,238.922,0.564610124,87821,332.5734,0.8575,0.9892,0.6679,0.8045,0.8,1.9435,0.7162,Çerçevelik,1
327347,77063,1109.138,452.2426,-0.077517304,217.8907,0.427728769,77806,313.2406,0.8763,0.9905,0.6162,0.7872,0.8,2.0755,0.6926,Çerçevelik,1
327350,74522,1090.457,439.7033,-0.300494863,217.2758,0.423726718,75450,308.033,0.8694,0.9877,0.7199,0.7875,0.8,2.0237,0.7005,Çerçevelik,1
327352,64543,959.774,364.3535,-1.640387399,226.7457,0.485361174,65140,286.6683,0.7828,0.9908,0.703,0.8805,0.9,1.6069,0.7868,Çerçevelik,1
327355,95832,1229.239,501.0219,0.789890705,244.0251,0.597823441,96696,349.3095,0.8734,0.9911,0.7319,0.797,0.8,2.0532,0.6972,Çerçevelik,1
327359,68607,1004.027,385.8641,-1.257879518,227.7052,0.49160604,69396,295.5557,0.8073,0.9886,0.7031,0.8552,0.9,1.6946,0.766,Çerçevelik,1
327362,79071,1089.765,422.3434,-0.609193764,240.724,0.576338367,80002,317.2953,0.8217,0.9884,0.6704,0.8367,0.8,1.7545,0.7513,Çerçevelik,1
327364,70673,1055.627,423.9374,-0.580848782,213.3525,0.39819208,71608,299.9728,0.8641,0.9869,0.6568,0.797,0.8,1.987,0.7076,Çerçevelik,1
327367,69517,1059.538,429.8407,-0.475874547,206.825,0.355708114,70493,297.5093,0.8766,0.9862,0.6623,0.7782,0.8,2.0783,0.6921,Çerçevelik,1
327369,66702,1029.563,420.897,-0.634914079,203.1187,0.331585812,67399,291.4234,0.8758,0.9897,0.7126,0.7908,0.8,2.0722,0.6924,Çerçevelik,1
327372,78870,1081.043,430.0428,-0.472280745,234.1966,0.533855051,79424,316.8918,0.8387,0.993,0.7121,0.8481,0.8,1.8362,0.7369,Çerçevelik,1
327375,73550,1076.141,436.6477,-0.35483045,215.1518,0.409902751,74475,306.0176,0.8702,0.9876,0.7462,0.7981,0.8,2.0295,0.7008,Çerçevelik,1
327378,70285,1038.973,397.2996,-1.054530058,227.0837,0.487561033,71505,299.1482,0.8206,0.9829,0.6928,0.8182,0.8,1.7496,0.753,Çerçevelik,1
327381,68243,1011.246,404.4244,-0.927834747,215.334,0.411088592,68741,294.7706,0.8465,0.9928,0.7461,0.8386,0.8,1.8781,0.7289,Çerçevelik,1
327383,64811,964.378,359.8989,-1.719600421,230.1407,0.507457392,65426,287.2628,0.7688,0.9906,0.7619,0.8757,0.9,1.5638,0.7982,Çerçevelik,1
327386,102377,1230.441,477.3742,0.369380276,274.2373,0.794458307,103258,361.0408,0.8185,0.9915,0.7364,0.8497,0.8,1.7407,0.7563,Çerçevelik,1
327387,91385,1190.488,485.5496,0.514757668,242.1273,0.585471688,92490,341.1085,0.8668,0.9881,0.7227,0.8103,0.8,2.0053,0.7025,Çerçevelik,1
327389,70222,1025.283,402.12,-0.968812273,223.0969,0.461613109,70779,299.0141,0.832,0.9921,0.699,0.8395,0.8,1.8024,0.7436,Çerçevelik,1
327391,85946,1121.265,420.8492,-0.635764072,261.7127,0.712942461,87047,330.8018,0.7831,0.9874,0.7354,0.8591,0.9,1.6081,0.786,Çerçevelik,1
327394,93924,1172.49,450.5382,-0.107825451,266.2257,0.742315137,94692,345.8146,0.8067,0.9919,0.7296,0.8586,0.9,1.6923,0.7676,Çerçevelik,1
327397,75710,1043.526,395.511,-1.086335475,244.5521,0.601253399,76522,310.4786,0.7859,0.9894,0.7412,0.8737,0.9,1.6173,0.785,Çerçevelik,1
327400,73382,1018.708,389.0548,-1.201141542,240.6674,0.575969988,73955,305.6679,0.7857,0.9923,0.7564,0.8886,0.9,1.6166,0.7857,Çerçevelik,1
327402,96935,1201.897,449.5173,-0.125979399,276.2137,0.807321626,98071,351.3139,0.7889,0.9884,0.7057,0.8432,0.8,1.6274,0.7815,Çerçevelik,1
327404,72138,1048.199,412.0657,-0.79195488,223.8684,0.466634385,72927,303.0659,0.8395,0.9892,0.6954,0.8251,0.8,1.8407,0.7355,Çerçevelik,1
327407,82132,1146.16,460.8095,0.074821858,228.7262,0.498251177,83126,323.3786,0.8681,0.988,0.6391,0.7857,0.8,2.0147,0.7018,Çerçevelik,1
327411,76325,1076.066,420.2904,-0.64570082,232.4291,0.52235135,77189,311.7371,0.8332,0.9888,0.7328,0.8283,0.8,1.8083,0.7417,Çerçevelik,1
327415,77691,1079.665,412.6364,-0.781806523,240.9295,0.577675855,78673,314.5143,0.8118,0.9875,0.6841,0.8375,0.8,1.7127,0.7622,Çerçevelik,1
327416,82306,1059.11,390.5541,-1.174480544,268.9078,0.759771475,82826,323.721,0.7252,0.9937,0.7279,0.9221,0.9,1.4524,0.8289,Çerçevelik,1
327418,66789,1017.28,405.313,-0.912033398,210.4572,0.379348139,67514,291.6134,0.8546,0.9893,0.737,0.811,0.8,1.9259,0.7195,Çerçevelik,1
327421,80137,1124.144,454.4632,-0.038029935,225.1284,0.474835043,80936,319.427,0.8687,0.9901,0.6586,0.7969,0.8,2.0187,0.7029,Çerçevelik,1
327423,70041,1017.782,392.8732,-1.133241618,230.235,0.50807114,70789,298.6285,0.8103,0.9894,0.7297,0.8497,0.8,1.7064,0.7601,Çerçevelik,1
327426,85039,1130.265,433.7324,-0.406671181,250.862,0.642321125,85907,329.0517,0.8158,0.9899,0.6958,0.8365,0.8,1.729,0.7587,Çerçevelik,1
327427,98441,1249.004,489.5147,0.585266255,257.6878,0.686746565,99561,354.0324,0.8502,0.9888,0.6871,0.793,0.8,1.8996,0.7232,Çerçevelik,1
327431,91282,1171.051,427.7433,-0.513171137,273.1993,0.787702527,93122,340.9162,0.7695,0.9802,0.7115,0.8365,0.8,1.5657,0.797,Çerçevelik,1
327433,73346,1076.34,418.7888,-0.672402718,224.6259,0.471564542,74449,305.5929,0.844,0.9852,0.6416,0.7956,0.8,1.8644,0.7297,Çerçevelik,1
327437,89332,1199.709,471.9775,0.273414553,241.5176,0.58150348,90457,337.2551,0.8592,0.9876,0.7539,0.7799,0.8,1.9542,0.7146,Çerçevelik,1
327438,75040,1139.505,449.795,-0.121041255,215.9398,0.415031416,76482,309.1018,0.8772,0.9811,0.5964,0.7262,0.7,2.083,0.6872,Çerçevelik,1
327441,78532,1123.849,432.7165,-0.424736217,232.2045,0.52088955,79455,316.212,0.8438,0.9884,0.6983,0.7813,0.8,1.8635,0.7308,Çerçevelik,1
327444,96211,1169.304,418.7244,-0.673547898,293.4921,0.919777385,97138,349.9995,0.7132,0.9905,0.7516,0.8843,0.9,1.4267,0.8359,Çerçevelik,1
327446,79102,1120.31,430.87,-0.457571229,234.4646,0.535599318,79999,317.3575,0.839,0.9888,0.6653,0.792,0.8,1.8377,0.7366,Çerçevelik,1
327449,80920,1171.651,397.4495,-1.051864492,262.3499,0.717089651,82943,320.9837,0.7512,0.9756,0.7258,0.7407,0.7,1.515,0.8076,Çerçevelik,1
327450,65386,1017.984,389.2751,-1.197224102,217.0287,0.422118477,66640,288.5343,0.8302,0.9812,0.7471,0.7929,0.8,1.7937,0.7412,Çerçevelik,1
327452,92816,1229.789,472.8681,0.289251467,252.0375,0.649971818,93938,343.7688,0.8461,0.9881,0.7131,0.7712,0.8,1.8762,0.727,Çerçevelik,1
327456,88903,1208.555,476.114,0.346971025,239.0078,0.56516855,89984,336.4444,0.8649,0.988,0.6839,0.7649,0.8,1.992,0.7066,Çerçevelik,1
327458,74959,1059.482,399.9927,-1.006640554,239.647,0.569328757,75668,308.9349,0.8007,0.9906,0.7352,0.8392,0.8,1.6691,0.7724,Çerçevelik,1
327462,60145,938.701,357.5699,-1.761015391,214.6178,0.406427233,60824,276.7291,0.7998,0.9888,0.6804,0.8577,0.9,1.6661,0.7739,Çerçevelik,1
327464,94019,1215.135,470.8153,0.252747967,255.6161,0.67326299,95889,345.9895,0.8398,0.9805,0.7501,0.8002,0.8,1.8419,0.7349,Çerçevelik,1
327467,71623,1086.452,431.6635,-0.443460976,214.3176,0.404473394,72709,301.9822,0.868,0.9851,0.7259,0.7625,0.8,2.0141,0.6996,Çerçevelik,1
327470,68575,1013.014,376.118,-1.431187564,233.5821,0.529855603,69321,295.4867,0.7838,0.9892,0.6983,0.8397,0.8,1.6102,0.7856,Çerçevelik,1
327472,88037,1143.45,428.9861,-0.491071298,262.1492,0.715783404,88881,334.8017,0.7916,0.9905,0.7283,0.8461,0.8,1.6364,0.7804,Çerçevelik,1
327474,76709,1086.642,426.9315,-0.527606806,229.9314,0.506095172,77379,312.5203,0.8426,0.9913,0.7341,0.8164,0.8,1.8568,0.732,Çerçevelik,1
327477,75307,1079.812,421.5085,-0.624040204,228.3167,0.495585963,76138,309.6512,0.8406,0.9891,0.6739,0.8116,0.8,1.8462,0.7346,Çerçevelik,1
327481,81357,1092.364,411.2506,-0.80644923,252.762,0.654687197,82145,321.8493,0.7888,0.9904,0.7379,0.8568,0.9,1.627,0.7826,Çerçevelik,1
327482,62211,968.901,369.045,-1.556961752,215.6276,0.412999475,63090,281.4418,0.8115,0.9861,0.718,0.8328,0.8,1.7115,0.7626,Çerçevelik,1
327484,68265,1034.969,401.9448,-0.971927731,217.6478,0.426147864,69242,294.8181,0.8407,0.9859,0.7319,0.8009,0.8,1.8468,0.7335,Çerçevelik,1
327485,80150,1130.443,447.8462,-0.155695395,228.7348,0.49830715,80928,319.4529,0.8597,0.9904,0.6395,0.7882,0.8,1.9579,0.7133,Çerçevelik,1
327487,82031,1108.321,429.8897,-0.475003215,243.2943,0.593067059,82716,323.1797,0.8244,0.9917,0.7016,0.8392,0.8,1.767,0.7518,Çerçevelik,1
327489,59259,931.363,357.889,-1.75534106,212.0508,0.389720019,59858,274.6833,0.8056,0.99,0.725,0.8585,0.9,1.6878,0.7675,Çerçevelik,1
327492,83446,1194.038,481.648,0.445378258,221.4931,0.451174842,84624,325.9551,0.888,0.9861,0.6899,0.7355,0.7,2.1746,0.6767,Çerçevelik,1
327494,80722,1103.905,426.8265,-0.529473947,241.4469,0.581043332,81479,320.5908,0.8246,0.9907,0.6708,0.8324,0.8,1.7678,0.7511,Çerçevelik,1
327497,64073,1033.25,405.1633,-0.914695408,207.1816,0.35802903,67150,285.6226,0.8594,0.9542,0.6974,0.7542,0.8,1.9556,0.705,Çerçevelik,1
327499,66968,1022.469,398.6842,-1.02990869,214.6545,0.406666094,67989,292.0039,0.8427,0.985,0.6592,0.805,0.8,1.8573,0.7324,Çerçevelik,1
327503,66523,1022.985,405.2955,-0.912344588,210.1596,0.377411221,67228,291.0322,0.8551,0.9895,0.7516,0.7988,0.8,1.9285,0.7181,Çerçevelik,1
327506,101124,1255.646,481.9419,0.450604475,271.2444,0.77497914,103164,358.8246,0.8266,0.9802,0.6526,0.806,0.8,1.7768,0.7445,Çerçevelik,1
327510,79149,1115.466,436.0194,-0.366003068,232.3894,0.522092964,80168,317.4518,0.8461,0.9873,0.6435,0.7994,0.8,1.8762,0.7281,Çerçevelik,1
327511,71517,1051.752,401.4022,-0.981576406,227.7478,0.491883301,72424,301.7586,0.8235,0.9875,0.7208,0.8124,0.8,1.7625,0.7518,Çerçevelik,1
327513,68860,1027.834,382.1779,-1.323428622,232.072,0.520027179,69990,296.1001,0.7945,0.9839,0.7225,0.8191,0.8,1.6468,0.7748,Çerçevelik,1
327517,87776,1181.676,475.475,0.335608137,235.7883,0.544214566,88795,334.3051,0.8684,0.9885,0.751,0.7899,0.8,2.0165,0.7031,Çerçevelik,1
327520,92175,1207.754,485.4328,0.512680696,242.9822,0.591035769,93233,342.5797,0.8657,0.9887,0.7177,0.7941,0.8,1.9978,0.7057,Çerçevelik,1
327521,73018,1056.45,399.4726,-1.015889126,233.5491,0.529640824,74076,304.9088,0.8113,0.9857,0.6672,0.8221,0.8,1.7104,0.7633,Çerçevelik,1
327524,69718,1066.685,418.073,-0.685131286,214.1268,0.40323158,70945,297.9391,0.8589,0.9827,0.7221,0.77,0.8,1.9525,0.7126,Çerçevelik,1
327527,56561,902.59,342.3154,-2.032275443,210.7994,0.381575333,57075,268.3574,0.7879,0.991,0.7351,0.8725,0.9,1.6239,0.7839,Çerçevelik,1
327529,80375,1112.359,433.3406,-0.413638285,238.4624,0.561618836,81364,319.901,0.835,0.9878,0.6576,0.8163,0.8,1.8172,0.7382,Çerçevelik,1
327532,67258,1033.485,412.7968,-0.778954242,208.3175,0.365421989,68108,292.6355,0.8633,0.9875,0.644,0.7913,0.8,1.9816,0.7089,Çerçevelik,1
327533,74104,1067.604,401.8534,-0.973553033,237.2761,0.553897851,75071,307.1679,0.8071,0.9871,0.7378,0.817,0.8,1.6936,0.7644,Çerçevelik,1
327534,81694,1118.852,442.772,-0.245926328,235.8376,0.544535433,82443,322.5152,0.8463,0.9909,0.6411,0.8201,0.8,1.8774,0.7284,Çerçevelik,1
327535,62584,1017.196,345.0958,-1.982833544,233.8076,0.531323261,64781,282.2843,0.7355,0.9661,0.7357,0.7601,0.8,1.476,0.818,Çerçevelik,1
327538,70175,1029.917,390.8671,-1.168914685,229.4874,0.503205416,70940,298.914,0.8095,0.9892,0.7329,0.8314,0.8,1.7032,0.7647,Çerçevelik,1
327539,95608,1217.112,475.3285,0.333003031,257.7036,0.686849398,96740,348.901,0.8403,0.9883,0.696,0.811,0.8,1.8445,0.734,Çerçevelik,1
327541,99115,1245.19,473.7952,0.305737434,268.4639,0.75688237,100258,355.2424,0.824,0.9886,0.7203,0.8033,0.8,1.7648,0.7498,Çerçevelik,1
327543,72614,1077.587,412.8169,-0.778596818,226.1164,0.481265401,73913,304.0642,0.8366,0.9824,0.6982,0.7858,0.8,1.8257,0.7366,Çerçevelik,1
327544,84534,1150.801,447.58,-0.160429043,241.2236,0.579589993,85376,328.0732,0.8423,0.9901,0.7432,0.8021,0.8,1.8555,0.733,Çerçevelik,1
327547,80658,1135.127,441.5689,-0.267320209,232.9578,0.525792372,81631,320.4637,0.8495,0.9881,0.7535,0.7866,0.8,1.8955,0.7257,Çerçevelik,1
327549,82306,1116.464,410.7504,-0.815343935,256.2447,0.677354207,83372,323.721,0.7815,0.9872,0.7325,0.8298,0.8,1.603,0.7881,Çerçevelik,1
327552,78850,1107.497,402.3104,-0.965426523,252.2188,0.651151802,79870,316.8516,0.7791,0.9872,0.7338,0.8078,0.8,1.5951,0.7876,Çerçevelik,1
327553,83219,1103.068,412.3368,-0.787134099,257.671,0.686637222,84013,325.5115,0.7807,0.9905,0.7238,0.8595,0.9,1.6002,0.7894,Çerçevelik,1
327557,67629,1043.16,394.4112,-1.105892445,219.7025,0.439520795,69144,293.4415,0.8305,0.9781,0.697,0.781,0.8,1.7952,0.744,Çerçevelik,1
327558,99655,1229.159,477.4395,0.37054146,266.7602,0.745793908,100495,356.2088,0.8293,0.9916,0.6881,0.8289,0.8,1.7898,0.7461,Çerçevelik,1
327559,95117,1205.369,477.8186,0.377282729,254.3343,0.664920447,95970,348.0039,0.8466,0.9911,0.7582,0.8227,0.8,1.8787,0.7283,Çerçevelik,1
327560,98565,1258.45,503.9363,0.841715432,249.9124,0.636140692,99461,354.2554,0.8684,0.991,0.7102,0.7821,0.8,2.0165,0.703,Çerçevelik,1
327562,62105,989.876,394.7356,-1.100123868,202.8029,0.329530441,62653,281.202,0.8579,0.9913,0.6651,0.7965,0.8,1.9464,0.7124,Çerçevelik,1
327565,71757,1022.204,394.1106,-1.111237804,232.7409,0.524380688,72386,302.2645,0.807,0.9913,0.6877,0.863,0.9,1.6933,0.767,Çerçevelik,1
327567,72457,1016.491,380.8485,-1.347068407,242.581,0.588424575,73000,303.7353,0.7709,0.9926,0.7295,0.8812,0.9,1.57,0.7975,Çerçevelik,1
327569,87484,1147.175,438.5324,-0.321316155,256.1463,0.676713775,88362,333.7485,0.8117,0.9901,0.7197,0.8354,0.8,1.712,0.7611,Çerçevelik,1
